stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2011,2013,4452.032
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2011,2014,2706.296
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2011,2015,972.445
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2011,2016,43.09429
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2012,2014,2672.774
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2012,2015,1728.825
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2012,2016,663.6721
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2012,2017,42.59875
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2013,2015,1415.607
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2013,2016,784.5559
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2013,2017,284.013
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2013,2018,2.004261
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2014,2016,702.7077
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2014,2017,441.5356
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2014,2018,83.71023
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2014,2019,0
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2015,2017,240.2848
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2015,2018,134.3555
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2015,2019,50.40474
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2015,2020,0
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2016,2018,711.5991
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2016,2019,405.3621
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2016,2020,118.6035
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2016,2021,4.009778
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2017,2019,685.2644
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2017,2020,404.6599
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2017,2021,67.7843
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2018,2020,662.9099
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2018,2021,404.678
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2019,2021,490.8557
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1981,1983,14137.15
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1981,1984,7224.882
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1981,1985,1767.156
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1981,1986,151.2311
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1982,1984,2155.346
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1982,1985,1268.622
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1982,1986,509.5127
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1982,1987,63.08816
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1983,1985,4286.282
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1983,1986,2687.746
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1983,1987,1088.361
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1983,1988,124.6133
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1984,1986,6825.09
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1984,1987,4286.53
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1984,1988,1953.285
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1984,1989,153.4006
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1985,1987,859.2283
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1985,1988,501.9574
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1985,1989,178.1099
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1985,1990,13.1374
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1986,1988,2351.355
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1986,1989,1307.169
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1986,1990,409.6978
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1986,1991,10.05746
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1987,1989,1989.956
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1987,1990,1209.543
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1987,1991,525.4361
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1987,1992,36.81894
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1988,1990,8597.341
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1988,1991,5120.943
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1988,1992,2254.698
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1988,1993,59.09203
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1989,1991,5924.087
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1989,1992,3544.462
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1989,1993,1236.146
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1989,1994,23.08721
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1990,1992,1918.02
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1990,1993,1157.23
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1990,1994,307.6854
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1990,1995,26.67241
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1991,1993,611.793
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1991,1994,390.7663
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1991,1995,222.2279
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1991,1996,7.065474
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1992,1994,3288.904
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1992,1995,2010.274
CHI,CA,LFR,Y,BC,Pre-Terminal,4,1992,1996,341.624
CHI,CA,LFR,Y,BC,Pre-Terminal,5,1992,1997,1.027662
CHI,CA,LFR,Y,BC,Pre-Terminal,2,1993,1995,3177.74
CHI,CA,LFR,Y,BC,Pre-Terminal,3,1993,1996,1891.155
